ZipCode,lat,long,st,et,airport,arrival/departure time,direction
EN61UH,51.698768,-0.183759,02:00,03:00,London Luton Airport,05:00,Out
B774JP,52.619908,-1.642741,02:30,03:30,Birmingham Airport,05:30,Out
SG87TA,52.093693,0.071848,05:10,04:10,London Gatwick Airport,05:10,In
EX246PG,50.740009,-3.066985,03:40,04:40,Exeter Airport,06:40,Out
RG314RG,51.446381,-1.048992,05:10,04:10,London Gatwick Airport,05:10,In
EX246PF,50.737587,-3.074186,03:40,04:40,Exeter Airport,06:40,Out
TW62GA,51.473271,-0.487799,05:10,04:10,London Gatwick Airport,05:10,In
TW62GA,51.473271,-0.487799,05:10,04:10,London Gatwick Airport,05:10,In
RH203ET,50.917146,-0.426066,05:10,04:10,London Gatwick Airport,05:10,In
BH188DD,50.767411,-1.987066,05:25,04:25,London Heathrow Airport,05:25,In
NR203PL,52.657785,1.021643,05:25,04:25,London Heathrow Airport,05:25,In
TS147BG,54.529994,-1.048504,05:25,04:25,London Heathrow Airport,05:25,In
SW148NY,51.467041,-0.26335,05:25,04:25,London Heathrow Airport,05:25,In
SP61EH,50.932072,-1.788341,05:25,04:25,London Heathrow Airport,05:25,In
SP61BF,50.925651,-1.792867,05:25,04:25,London Heathrow Airport,05:25,In
NR203NN,52.659081,1.026909,05:25,04:25,London Heathrow Airport,05:25,In
PO228AR,50.790026,-0.66573,05:35,04:35,London Heathrow Airport,05:35,In
SK121BR,53.353701,-2.114754,05:35,04:35,London Heathrow Airport,05:35,In
RM162AY,51.498653,0.328417,04:55,05:55,London Gatwick Airport,07:55,Out
CR81EB,51.330808,-0.100865,06:20,05:20,London Heathrow Airport,06:20,In
L395HJ,53.552106,-2.902132,06:20,05:20,London Heathrow Airport,06:20,In
CO79RA,51.859515,0.96624,06:20,05:20,London Heathrow Airport,06:20,In
EX332LG,51.107526,-4.147151,06:20,05:20,London Heathrow Airport,06:20,In
HG29AE,53.981983,-1.551842,06:20,05:20,London Heathrow Airport,06:20,In
NR305LE,52.653427,1.724622,06:20,05:20,London Heathrow Airport,06:20,In
NG317DR,52.911466,-0.659213,06:20,05:20,London Heathrow Airport,06:20,In
BH191NA,50.622737,-1.959892,06:20,05:20,London Heathrow Airport,06:20,In
KT206LU,51.296162,-0.2054,06:20,05:20,London Heathrow Airport,06:20,In
DN377AS,53.544182,-0.175926,06:20,05:20,London Heathrow Airport,06:20,In
WV112AT,52.643184,-2.057366,06:20,05:20,London Heathrow Airport,06:20,In
HX75PH,53.732762,-1.971739,06:25,05:25,London Heathrow Airport,06:25,In
HP30JA,51.719833,-0.534252,06:20,05:20,London Heathrow Airport,06:20,In
