S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.664311113598574
[0.0,1.0,0.0,0.0,0.0];0.48207502396999363
[0.0,0.0,1.0,0.0,0.0];0.4015671978996919
[0.0,0.0,0.0,1.0,0.0];0.49578889414308314
[0.5,0.0,0.0,0.5,0.0];0.6902689869037749
[0.5,0.0,0.5,0.0,0.0];0.7059174936750396
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.6960631591642643
[0.2,0.2,0.2,0.2,0.2];0.7145621447713222
[0.5,0.0,0.0,0.0,0.5];0.7408642164188357
[0.0,0.0,0.0,0.0,1.0];0.6491940430300194
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6847406652325692
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7583284749267114
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7328618547725884
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6717168282651858
smart L2O & RB [10];0.7372267379547957
