S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.6513626045351919
[0.0,1.0,0.0,0.0,0.0];0.5897139133422313
[0.0,0.0,1.0,0.0,0.0];0.4618825007884997
[0.0,0.0,0.0,1.0,0.0];0.6062553671750275
[0.5,0.0,0.0,0.5,0.0];0.7035003184738144
[0.5,0.0,0.5,0.0,0.0];0.6028361560176139
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7513262845276587
[0.2,0.2,0.2,0.2,0.2];0.7361289574311152
[0.5,0.0,0.0,0.0,0.5];0.7211041725101122
[0.0,0.0,0.0,0.0,1.0];0.5967166930270598
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6989886823441637
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7828884561386282
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7973109889275742
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6961690384986776
smart L2O & RB [10];0.7603397804697627
