S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.7310907472128676
[0.0,1.0,0.0,0.0,0.0];0.5428138835854952
[0.0,0.0,1.0,0.0,0.0];0.4394170783828464
[0.0,0.0,0.0,1.0,0.0];0.5546346260049395
[0.5,0.0,0.0,0.5,0.0];0.7798178711797217
[0.5,0.0,0.5,0.0,0.0];0.7091367180780394
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7844064867680287
[0.2,0.2,0.2,0.2,0.2];0.7597344324082758
[0.5,0.0,0.0,0.0,0.5];0.7760492203988336
[0.0,0.0,0.0,0.0,1.0];0.7238548842035537
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.7440032887886885
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7781960326296289
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7863888052761481
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.7478713746650547
smart L2O & RB [10];0.7697693811681396
