name,value,description
all_xs_median,-7.928952251993899,the median value of numbers range
all_xs_mean,-14.766541430976075,Ex. The average value of numbers in range. mean = sum / n
all_xs_average_deviation,13.612441530390866,average difference between the observed value and mean of values
all_xs_standatd_deviation,17.44055434488603,the amount of dispersion
all_xs_variance,304.17293585692306,Ex2. measures how far a set of numbers are spread out
all_xs_skew,-0.4954106649328304,Ex3. measure of the lopsidedness of the distribution
all_xs_kurtosis,0.44764740984781337,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
all_ys_median,1051.225485494318,the median value of numbers range
all_ys_mean,1068.2167367433615,Ex. The average value of numbers in range. mean = sum / n
all_ys_average_deviation,25.458651169053283,average difference between the observed value and mean of values
all_ys_standatd_deviation,32.142427143250764,the amount of dispersion
all_ys_variance,1033.1356226591836,Ex2. measures how far a set of numbers are spread out
all_ys_skew,1.3983785144151346,Ex3. measure of the lopsidedness of the distribution
all_ys_kurtosis,0.9103045925109572,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
src_xs_median,-21.113378861069304,the median value of numbers range
src_xs_mean,-18.21743431838071,Ex. The average value of numbers in range. mean = sum / n
src_xs_average_deviation,17.752040807259842,average difference between the observed value and mean of values
src_xs_standatd_deviation,22.10671034545251,the amount of dispersion
src_xs_variance,488.706642297737,Ex2. measures how far a set of numbers are spread out
src_xs_skew,0.08686297634861165,Ex3. measure of the lopsidedness of the distribution
src_xs_kurtosis,-0.6072613938272302,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
src_ys_median,1068.2314966178,the median value of numbers range
src_ys_mean,1075.945122837253,Ex. The average value of numbers in range. mean = sum / n
src_ys_average_deviation,28.090358017343664,average difference between the observed value and mean of values
src_ys_standatd_deviation,34.114437955129084,the amount of dispersion
src_ys_variance,1163.7948769943519,Ex2. measures how far a set of numbers are spread out
src_ys_skew,0.6726167230447778,Ex3. measure of the lopsidedness of the distribution
src_ys_kurtosis,-0.5410329932579696,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
dst_xs_median,-21.113378861069304,the median value of numbers range
dst_xs_mean,-18.21743431838071,Ex. The average value of numbers in range. mean = sum / n
dst_xs_average_deviation,17.752040807259842,average difference between the observed value and mean of values
dst_xs_standatd_deviation,22.10671034545251,the amount of dispersion
dst_xs_variance,488.706642297737,Ex2. measures how far a set of numbers are spread out
dst_xs_skew,0.08686297634861165,Ex3. measure of the lopsidedness of the distribution
dst_xs_kurtosis,-0.6072613938272302,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
dst_ys_median,1051.225485494318,the median value of numbers range
dst_ys_mean,1060.4883506494696,Ex. The average value of numbers in range. mean = sum / n
dst_ys_average_deviation,17.442193230611228,average difference between the observed value and mean of values
dst_ys_standatd_deviation,28.31372441021778,the amount of dispersion
dst_ys_variance,801.6669899777621,Ex2. measures how far a set of numbers are spread out
dst_ys_skew,2.5526643150708344,Ex3. measure of the lopsidedness of the distribution
dst_ys_kurtosis,5.22386495493628,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
edges_median,25.363377726543213,the median value of numbers range
edges_mean,30.40259410427443,Ex. The average value of numbers in range. mean = sum / n
edges_average_deviation,17.495116369481046,average difference between the observed value and mean of values
edges_standatd_deviation,21.020829889777406,the amount of dispersion
edges_variance,441.87528925495917,Ex2. measures how far a set of numbers are spread out
edges_skew,0.7255393928395073,Ex3. measure of the lopsidedness of the distribution
edges_kurtosis,-0.3070602746818518,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
dst_length,726.0769876633691,length of path through dst points only
src_length,2350.070827532524,length of path through src points only
length,3090.160685897616,length of path through all points
relative_src_length,0.7605011733717938,length of path through src points relative to he whole path
relative_dst_length,0.23496415282769073,length of path through dst points relative to he whole path
n,50.0,amount of pairs in dataset
