name,value,description
all_xs_median,3.097261884249747,the median value of numbers range
all_xs_mean,3.290628739632666,Ex. The average value of numbers in range. mean = sum / n
all_xs_average_deviation,24.049300452321766,average difference between the observed value and mean of values
all_xs_standatd_deviation,28.516209933078734,the amount of dispersion
all_xs_variance,813.1742289474183,Ex2. measures how far a set of numbers are spread out
all_xs_skew,-0.10119598005934585,Ex3. measure of the lopsidedness of the distribution
all_xs_kurtosis,-1.1524515450765829,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
all_ys_median,-6.25723775010556,the median value of numbers range
all_ys_mean,-3.868201713077724,Ex. The average value of numbers in range. mean = sum / n
all_ys_average_deviation,25.11779680609703,average difference between the observed value and mean of values
all_ys_standatd_deviation,29.8366812556651,the amount of dispersion
all_ys_variance,890.2275483521571,Ex2. measures how far a set of numbers are spread out
all_ys_skew,0.20086600029872198,Ex3. measure of the lopsidedness of the distribution
all_ys_kurtosis,-1.1354872753608225,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
src_xs_median,10.754911811091006,the median value of numbers range
src_xs_mean,9.33986181113869,Ex. The average value of numbers in range. mean = sum / n
src_xs_average_deviation,23.418275577425955,average difference between the observed value and mean of values
src_xs_standatd_deviation,28.072954349340087,the amount of dispersion
src_xs_variance,788.0907659001325,Ex2. measures how far a set of numbers are spread out
src_xs_skew,-0.3589540248702382,Ex3. measure of the lopsidedness of the distribution
src_xs_kurtosis,-1.0252395574771702,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
src_ys_median,-7.50378358643502,the median value of numbers range
src_ys_mean,-2.423912244848907,Ex. The average value of numbers in range. mean = sum / n
src_ys_average_deviation,27.071924102306365,average difference between the observed value and mean of values
src_ys_standatd_deviation,30.787384629616948,the amount of dispersion
src_ys_variance,947.863052331974,Ex2. measures how far a set of numbers are spread out
src_ys_skew,0.0930111533494391,Ex3. measure of the lopsidedness of the distribution
src_ys_kurtosis,-1.3426009961139866,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
dst_xs_median,10.754911811091006,the median value of numbers range
dst_xs_mean,9.33986181113869,Ex. The average value of numbers in range. mean = sum / n
dst_xs_average_deviation,23.418275577425955,average difference between the observed value and mean of values
dst_xs_standatd_deviation,28.072954349340087,the amount of dispersion
dst_xs_variance,788.0907659001325,Ex2. measures how far a set of numbers are spread out
dst_xs_skew,-0.3589540248702382,Ex3. measure of the lopsidedness of the distribution
dst_xs_kurtosis,-1.0252395574771702,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
dst_ys_median,-6.25723775010556,the median value of numbers range
dst_ys_mean,-5.312491181306541,Ex. The average value of numbers in range. mean = sum / n
dst_ys_average_deviation,22.94181084692478,average difference between the observed value and mean of values
dst_ys_standatd_deviation,29.0947223335994,the amount of dispersion
dst_ys_variance,846.5028676692477,Ex2. measures how far a set of numbers are spread out
dst_ys_skew,0.3055739624800497,Ex3. measure of the lopsidedness of the distribution
dst_ys_kurtosis,-0.9458017319684324,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
edges_median,55.02954066592366,the median value of numbers range
edges_mean,53.408416948293876,Ex. The average value of numbers in range. mean = sum / n
edges_average_deviation,20.751819525593547,average difference between the observed value and mean of values
edges_standatd_deviation,24.685028050858648,the amount of dispersion
edges_variance,609.3506098716783,Ex2. measures how far a set of numbers are spread out
edges_skew,-0.15914961136701616,Ex3. measure of the lopsidedness of the distribution
edges_kurtosis,-1.0276110464760155,Ex4. measure of the heaviness of the tail of the distribution compared to the normal distribution
dst_length,2213.865910033884,length of path through dst points only
src_length,2648.938549558466,length of path through src points only
dst_length,2213.865910033884,length of path through dst points only
relative_src_length,0.5372941173940746,length of path through src points relative to he whole path
relative_dst_length,0.44904670603202745,length of path through dst points relative to he whole path
n,50.0,amount of pairs in dataset
