id1,x1,y1,id2,x2,y2,direction
0,51.698768,-0.183759,0,51.87626460000001,-0.3717471,>
1,52.619908,-1.642741,12,52.45238209999999,-1.7435071,>
2,52.093693,0.071848,13,51.1536621,-0.1820629,<
3,50.740009,-3.066985,20,50.731072,-3.4162507,>
4,51.446381,-1.048992,13,51.1536621,-0.1820629,<
5,50.737587,-3.074186,20,50.731072,-3.4162507,>
6,51.473271,-0.487799,13,51.1536621,-0.1820629,<
7,51.473271,-0.487799,13,51.1536621,-0.1820629,<
8,50.917146,-0.426066,13,51.1536621,-0.1820629,<
9,50.767411,-1.987066,23,51.4700223,-0.4542955,<
10,52.657785,1.021643,23,51.4700223,-0.4542955,<
11,54.529994,-1.048504,23,51.4700223,-0.4542955,<
12,51.467041,-0.26335,23,51.4700223,-0.4542955,<
13,50.932072,-1.788341,23,51.4700223,-0.4542955,<
14,50.925651,-1.792867,23,51.4700223,-0.4542955,<
15,52.659081,1.026909,23,51.4700223,-0.4542955,<
16,50.790026,-0.66573,23,51.4700223,-0.4542955,<
17,53.353701,-2.114754,23,51.4700223,-0.4542955,<
18,51.498653,0.328417,13,51.1536621,-0.1820629,>
19,51.330808,-0.100865,23,51.4700223,-0.4542955,<
20,53.552106,-2.902132,23,51.4700223,-0.4542955,<
21,51.859515,0.96624,23,51.4700223,-0.4542955,<
22,51.107526,-4.147151,23,51.4700223,-0.4542955,<
23,53.981983,-1.551842,23,51.4700223,-0.4542955,<
24,52.653427,1.724622,23,51.4700223,-0.4542955,<
25,52.911466,-0.659213,23,51.4700223,-0.4542955,<
26,50.622737,-1.959892,23,51.4700223,-0.4542955,<
27,51.296162,-0.2054,23,51.4700223,-0.4542955,<
28,53.544182,-0.175926,23,51.4700223,-0.4542955,<
29,52.643184,-2.057366,23,51.4700223,-0.4542955,<
30,53.732762,-1.971739,23,51.4700223,-0.4542955,<
31,51.719833,-0.534252,23,51.4700223,-0.4542955,<
32,52.906066,-1.169442,23,51.4700223,-0.4542955,>
33,51.663687,-0.198262,13,51.1536621,-0.1820629,<
