S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.6101466324061975
[0.0,1.0,0.0,0.0,0.0];0.46004082271879126
[0.0,0.0,1.0,0.0,0.0];0.4015480432529619
[0.0,0.0,0.0,1.0,0.0];0.4457260874328113
[0.5,0.0,0.0,0.5,0.0];0.6708119798924124
[0.5,0.0,0.5,0.0,0.0];0.5877062113917748
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7110821438673656
[0.2,0.2,0.2,0.2,0.2];0.7003494600305422
[0.5,0.0,0.0,0.0,0.5];0.701812493487306
[0.0,0.0,0.0,0.0,1.0];0.6133351072140956
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6613599913089925
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7273333670358688
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7256464497981767
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.6695733656257852
smart L2O & RB [10];0.7005882286687868
