S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.7086337736754978
[0.0,1.0,0.0,0.0,0.0];0.5930231493000844
[0.0,0.0,1.0,0.0,0.0];0.3856270557776878
[0.0,0.0,0.0,1.0,0.0];0.6105191426215031
[0.5,0.0,0.0,0.5,0.0];0.736847326906203
[0.5,0.0,0.5,0.0,0.0];0.676314833987227
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7505463865204116
[0.2,0.2,0.2,0.2,0.2];0.7623355266491432
[0.5,0.0,0.0,0.0,0.5];0.7782048140928274
[0.0,0.0,0.0,0.0,1.0];0.6829393076372157
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.7524726850647818
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7678191766437394
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7754381118469595
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.7704324220544835
smart L2O & RB [10];0.7818271545400762
