S=[LO,CX,DB,PX,RB];result
[1.0,0.0,0.0,0.0,0.0];0.7113595607656598
[0.0,1.0,0.0,0.0,0.0];0.5070024508197717
[0.0,0.0,1.0,0.0,0.0];0.4357144142547388
[0.0,0.0,0.0,1.0,0.0];0.5499352707089286
[0.5,0.0,0.0,0.5,0.0];0.7595165721964714
[0.5,0.0,0.5,0.0,0.0];0.7043284785039692
[0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666];0.7788476913369048
[0.2,0.2,0.2,0.2,0.2];0.7596589125835338
[0.5,0.0,0.0,0.0,0.5];0.743019349624309
[0.0,0.0,0.0,0.0,1.0];0.7143941159265217
[0.24875621890547267,0.24875621890547267,0.24875621890547267,0.24875621890547267,0.0049751243781094535];0.6994953478918384
[0.32666666666666666,0.15833333333333333,0.09,0.16,0.265];0.7924580724057078
[0.3482862903225806,0.15977822580645162,0.1658266129032258,0.15977822580645162,0.1663306451612903];0.7795358815909061
[0.4412625512179747,0.2138772569678959,0.12157233553964608,0.21612859651492639,0.007159259759556937];0.7438566358096583
smart L2O & RB [10];0.7682826407694686
